index,area_string,posted,neighborhood,post title,number_bedrooms,sqft,URL,price,requested
0,newyork,2021-11-16 19:11, (Bed Stuy/Clinton Hill Brookyn brooklyn ),Furnished XL 1BR with private 1/2 bath avail in a 3BR 1.5/bath DUPLEX,1,,https://newyork.craigslist.org/brk/roo/d/brooklyn-furnished-xl-1br-with-private/7408950437.html,1550,2021-11-16 16h15m52s
1,newyork,2021-11-16 19:10, (Mount Kisco westchester ),Master Bedroom for Rent,1,310.0,https://newyork.craigslist.org/wch/roo/d/mount-kisco-master-bedroom-for-rent/7408950242.html,1550,2021-11-16 16h15m52s
2,newyork,2021-11-16 19:08," (Williamsburg, Brooklyn brooklyn )","Cozy semi-furnished room available in Williamsburg, starting Decembe",5,,https://newyork.craigslist.org/brk/roo/d/brooklyn-cozy-semi-furnished-room/7408948846.html,1075,2021-11-16 16h15m52s
3,newyork,2021-11-16 19:07, (East new york  area brooklyn ),Rooms .....move in ASAP couples,,,https://newyork.craigslist.org/brk/roo/d/brooklyn-rooms-move-in-asap-couples/7408949033.html,1100,2021-11-16 16h15m52s
4,newyork,2021-11-16 19:06, (East new york  area brooklyn ),Rooms .....move in ASAP couples,,,https://newyork.craigslist.org/brk/roo/d/brooklyn-rooms-move-in-asap-couples/7408948807.html,1100,2021-11-16 16h15m52s
5,newyork,2021-11-16 19:06, (west Fordham Road& Grand ave bronx ),room  & share,1,1818.0,https://newyork.craigslist.org/brx/roo/d/bronx-room-share/7403127406.html,600,2021-11-16 16h15m52s
6,newyork,2021-11-16 18:54," (Midwood, Brooklyn College brooklyn )","Bargain! 2 block walk to #2, 5 Flatbush/BC furnished",,110.0,https://newyork.craigslist.org/brk/roo/d/brooklyn-bargain-block-walk-to-5/7404654667.html,510,2021-11-16 16h15m52s
7,newyork,2021-11-16 18:54," (Midwood, Brooklyn College brooklyn )","Thrift living 2 block walk to #2,5 train and BC, Furnished",,120.0,https://newyork.craigslist.org/brk/roo/d/brooklyn-thrift-living-block-walk-to-25/7402394061.html,550,2021-11-16 16h15m52s
8,newyork,2021-11-16 18:53," (Midwood, Brooklyn College brooklyn )","Best price$550 / 110ft2 - walk to #2,5 train and BC, Furnished",,110.0,https://newyork.craigslist.org/brk/roo/d/brooklyn-best-price-ft2-walk-to-25/7407813937.html,550,2021-11-16 16h15m52s
9,newyork,2021-11-16 18:53, (Bed-Stuy brooklyn ),Room in Large 2-Floor Apartment,2,,https://newyork.craigslist.org/brk/roo/d/brooklyn-room-in-large-floor-apartment/7408943728.html,1400,2021-11-16 16h15m52s
10,newyork,2021-11-16 18:52, (Midtown West),Dec 15 awesome Hell’s Kitchen apt with true dining room,,,https://newyork.craigslist.org/mnh/roo/d/new-york-dec-15-awesome-hells-kitchen/7408943194.html,1425,2021-11-16 16h15m52s
11,newyork,2021-11-16 18:37, (Bronx (Coop City) bronx ),ONE BIG LIVING ROOM WELL FURNISHED.,,,https://newyork.craigslist.org/brx/roo/d/bronx-one-big-living-room-well-furnished/7406368726.html,850,2021-11-16 16h15m52s
12,newyork,2021-11-16 18:34, ( westchester ),**REALLY NICE FULLY FURNISHED ROOM FOR RENT!!**,,,https://newyork.craigslist.org/wch/roo/d/yonkers-really-nice-fully-furnished/7407994634.html,850,2021-11-16 16h15m52s
13,newyork,2021-11-16 18:27, (Brooklyn brooklyn ),Large room for rent,,,https://newyork.craigslist.org/brk/roo/d/brooklyn-large-room-for-rent/7395882094.html,900,2021-11-16 16h15m52s
