index,area_string,posted,neighborhood,post title,number_bedrooms,sqft,URL,price,requested
26,newyork,2021-11-27 18:13, (jersey city new jersey ),Fully Furnished Private room in a 3 bed 2 bath near NY transportation,3,,https://newyork.craigslist.org/jsy/roo/d/jersey-city-fully-furnished-private/7411986562.html,800,2021-11-27 17h26m47s
27,newyork,2021-11-27 18:12, (Bushwick brooklyn ),* Cozy Clean Quiet Room Available *,3,125.0,https://newyork.craigslist.org/brk/roo/d/brooklyn-cozy-clean-quiet-room/7404805725.html,900,2021-11-27 17h26m47s
28,newyork,2021-11-27 18:06, (Jamaica queens ),"Beautiful Room for Rent - Jamaica, Queens $600 per month",3,,https://newyork.craigslist.org/que/roo/d/jamaica-beautiful-room-for-rent-jamaica/7413440126.html,600,2021-11-27 17h26m47s
29,newyork,2021-11-27 18:03, (Kew gardens queens ),SPACE  FOR  RENT,,,https://newyork.craigslist.org/que/roo/d/kew-gardens-space-for-rent/7413443136.html,145,2021-11-27 17h26m47s
30,newyork,2021-11-27 17:56, (Financial District),No Fee SHARE -Furnished Bedroom in a XL 3 bed/2 bath avail Immediately,,1800.0,https://newyork.craigslist.org/mnh/roo/d/no-fee-share-furnished-bedroom-in-xl/7413440402.html,2195,2021-11-27 17h26m47s
31,newyork,2021-11-27 17:52, (East Williamsburg brooklyn ),1 Very Spacious Room available for Rent,3,,https://newyork.craigslist.org/brk/roo/d/brooklyn-very-spacious-room-available/7413439074.html,1350,2021-11-27 17h26m47s
32,newyork,2021-11-27 17:51, (Brooklyn brooklyn ),Spacious room in giant Crown Heights Apartment,4,,https://newyork.craigslist.org/brk/roo/d/brooklyn-spacious-room-in-giant-crown/7413433976.html,978,2021-11-27 17h26m47s
33,newyork,2021-11-27 17:49, (Saint Albans queens ),SOLO HABITACION MASCULINA 🐬,1,,https://newyork.craigslist.org/que/roo/d/saint-albans-solo-habitacion-masculina/7413437929.html,150,2021-11-27 17h26m47s
34,newyork,2021-11-27 17:49, (Saint Albans queens ),SOLO HABITACION MASCULINA 🐬,1,,https://newyork.craigslist.org/que/roo/d/saint-albans-solo-habitacion-masculina/7413437769.html,150,2021-11-27 17h26m47s
35,newyork,2021-11-27 17:46, (Jamaica queens ),BONITA HABITACION SOLO MASCULINA🍀🍀🍀,1,,https://newyork.craigslist.org/que/roo/d/jamaica-bonita-habitacion-solo-masculina/7413393433.html,150,2021-11-27 17h26m47s
36,newyork,2021-11-27 17:45, (White plains rd/Bronx e233rd 2/5 train bronx ),"You Need Temp Space Available an Ready 4 U 2 move Now ,Contact 24/7",1,,https://newyork.craigslist.org/brx/roo/d/you-need-temp-space-available-an-ready/7408739759.html,0,2021-11-27 17h26m47s
37,newyork,2021-11-27 17:44, (Jamaica queens ),BONITA HABITACION SOLO MASCULINA🍀🍀🍀,1,,https://newyork.craigslist.org/que/roo/d/jamaica-bonita-habitacion-solo-masculina/7413393572.html,150,2021-11-27 17h26m47s
