index,area_string,posted,neighborhood,post title,number_bedrooms,sqft,URL,price,requested
0,newyork,2021-11-29 12:24," (EAST NEW YORK, BROOKLYN brooklyn )",FEMALE TENANT WANTED. $75.00 WEEKLY.,,,https://newyork.craigslist.org/brk/roo/d/brooklyn-female-tenant-wanted-7500/7414108258.html,75,2021-11-29 09h31m24s
1,newyork,2021-11-29 12:23, (Brooklyn brooklyn ),SIGNATURES-BRAND NEW- XL rooms + prvt BATHROOMS-outdoor-W/D- J-G,,,https://newyork.craigslist.org/brk/roo/d/brooklyn-signatures-brand-new-xl-rooms/7414100854.html,0,2021-11-29 09h31m24s
2,newyork,2021-11-29 12:20, (Queens St. Albans queens ),Single Rooms,3,,https://newyork.craigslist.org/que/roo/d/springfield-gardens-single-rooms/7411295918.html,750,2021-11-29 09h31m24s
3,newyork,2021-11-29 12:20, (Bushwick Brooklyn brooklyn ),Private Furnished Room Month to Month,3,,https://newyork.craigslist.org/brk/roo/d/brooklyn-private-furnished-room-month/7411482253.html,850,2021-11-29 09h31m24s
4,newyork,2021-11-29 12:15, (Inwood / Wash Hts),260 SQ foot Room for rent,3,,https://newyork.craigslist.org/mnh/roo/d/new-york-260-sq-foot-room-for-rent/7409514069.html,950,2021-11-29 09h31m24s
5,newyork,2021-11-29 12:13, (Bed-Stuy BROOKLYN brooklyn ),Private Furnished Room Month to Month,4,,https://newyork.craigslist.org/brk/roo/d/brooklyn-private-furnished-room-month/7411827896.html,875,2021-11-29 09h31m24s
6,newyork,2021-11-29 12:12, (bronx bronx ),LISTADO ONLINE 718*RENTO 577 CUARTOS(1511),,,https://newyork.craigslist.org/brx/roo/d/bronx-listado-online-718rento-577/7414100823.html,0,2021-11-29 09h31m24s
7,newyork,2021-11-29 12:12, (Greenpoint Brooklyn brooklyn ),Private Furnished Room Month to Month,5,,https://newyork.craigslist.org/brk/roo/d/brooklyn-private-furnished-room-month/7411835507.html,925,2021-11-29 09h31m24s
8,newyork,2021-11-29 12:12," (Crown Heights, Brooklyn brooklyn )","Seeking 1 roommate for charming, spacious Crown Heights floorthru apt",2,,https://newyork.craigslist.org/brk/roo/d/brooklyn-seeking-roommate-for-charming/7414100672.html,1700,2021-11-29 09h31m24s
9,newyork,2021-11-29 12:12, (BROOKLYN brooklyn ),Signatures Brand NEW urban-furnished SUITE-yard-W/D - J to Gates,,,https://newyork.craigslist.org/brk/roo/d/brooklyn-signatures-brand-new-urban/7414100347.html,1175,2021-11-29 09h31m24s
